Left Upper Arm,Left Lower Arm,Right Upper Arm,Right Lower Arm,Left Thigh,Left Lower Leg,Right Thigh,Right Lower Leg,Left Eye to Nose,Right Eye to Nose,File Name
321.5987881610132,244.92526307422818,334.2416370558101,,262.88342415298575,,81.59147047288354,,57.92107205224294,58.28764302183577,p000_1234.png
277.07956000482676,229.9258796901204,256.7635270708525,,168.86876898881255,,131.7960926104124,,48.39848748451386,48.60229131046626,p000_27182.png
267.42548189596573,223.231243603379,235.13221440304508,180.70154645303074,,,302.45741278945553,,45.996483646165125,49.88075521225761,p000_31415.png
284.72174939964736,228.46969250999533,262.48765917463743,210.35805492274727,,,242.8277430850732,,48.055792644758895,48.76745211926264,p000_42.png
289.6966853029796,236.98080313009743,356.8117386144623,215.3924621929943,,,,,54.40756866800008,70.56087617886753,p000_8675309.png
324.0939659636212,254.1644005524699,286.54226309593236,238.02498324384123,,,,,55.97984009021112,60.24874559398664,p001_1234.png
263.13417597933034,232.71001000305145,,,,,,,48.14645969496743,41.092352169731,p001_27182.png
281.4087556033198,231.10280601045625,,,,,,,49.96872543237562,37.11462953319458,p001_31415.png
290.709926339795,248.49959731344364,252.69505104151756,202.89111287346466,,,,,46.45151928036881,44.91304603150675,p001_42.png
384.8476764758173,,347.0513556296437,230.7247784816096,,,,,63.56725830068007,50.24177003368059,p001_8675309.png
272.3158357378402,244.30518649146575,269.19318120327057,232.24769121605843,,,,,27.858403471172707,51.803957124839066,p002_1234.png
362.2776470844198,,405.10585795036656,309.6277759812965,,,,,70.7594790382023,48.048560769266174,p002_27182.png
,,395.22829655226036,,,,,,56.92671977441936,78.50514346512236,p002_31415.png
384.70538595487903,,357.0770654851371,,,,,,78.20889660573351,49.40422050140312,p002_42.png
,,441.77689562017406,313.4456677253403,,,,,60.915731678034476,94.76462726687284,p002_8675309.png
314.6886746137385,224.98393344880532,316.5801707954583,236.58553063372244,,,,,56.273706328220584,58.56297688182406,p003_1234.png
286.903181459264,265.39491933607155,264.13813119044175,207.03672811175602,,,321.1279399984436,,48.99911120810072,45.92145656661091,p003_27182.png
352.52331677647,242.432275661396,319.32788195269427,,475.49255400171046,,,,63.25985423777109,57.26919304572394,p003_31415.png
298.89881810794606,245.08290811480921,288.28471097083525,196.82740757366454,,,246.02851705418732,,52.743544186968734,55.660600938898,p003_42.png
377.4141378943109,254.97226688111292,357.71005688852944,174.88172829452856,,,,,66.94471799880111,62.76143382129132,p003_8675309.png
424.64399282094035,,406.3135138076099,,,,,,76.56906684928092,71.24454389081194,p004_1234.png
261.04606760523245,255.51648211306485,251.47883712285602,234.91094840126578,,,,,46.20510380358562,45.30888044219929,p004_27182.png
295.47209610219113,245.891386914645,,,,,,,51.50997838585723,40.115474003162674,p004_31415.png
283.7637966236258,226.13270677345793,279.7253045604121,224.76579868952805,,,,,50.30694315485946,47.25048494357441,p004_42.png
380.35906296292774,,365.22125736794567,,,,,,74.97979242361,71.5793938032183,p004_8675309.png
270.4596534232389,243.407275181988,287.21173037324274,196.84890282527334,,,,,23.392302994021538,50.64702575525788,p005_1234.png
371.561672679716,,365.067141039813,,,,,,67.8910768141931,55.6933343926433,p005_27182.png
293.92588352759884,271.5333665326053,,,,,,,48.583544066547695,17.89705272025865,p005_31415.png
320.97206726426776,,341.850710939162,,,,,,89.94542840039968,55.72976738280631,p005_42.png
279.57288898532573,246.01030537107033,305.16284164624653,221.88494510566764,,,,,36.10671298082018,48.56607511604577,p005_8675309.png
202.4389113447063,155.72588210761376,216.04202195915403,174.59817470048966,276.1711113121969,,,261.08534425669757,34.45776052031243,40.60588964475526,p006_1234.png
224.16094448183475,203.20081930539806,224.55908895837462,202.40776971816072,195.7849592063669,,223.9711374785476,,39.51905108486622,37.63939945596252,p006_27182.png
232.32891197592932,210.1711143725189,221.01414741496282,,81.02523440224687,175.7327701566015,266.27226265338754,340.5799362903598,25.754042889194235,40.073268505290706,p006_31415.png
218.1842220143806,203.7964972239869,219.6171218638522,194.42965982854813,191.19404939147958,379.98871244950305,195.56255228566826,369.0170699106611,38.27288167110541,37.35185033280356,p006_42.png
222.2536323693389,199.3617659203085,257.0887294011739,221.76320999288404,308.2787051687682,,,241.05555657606317,24.07660223459157,41.37188962368079,p006_8675309.png
259.7512365332475,227.12191447278877,257.0878657020027,228.09573248635505,,,,,43.59668314640518,46.04208791328218,p007_1234.png
133.56007725053107,118.85242474737119,133.90409947914736,124.29144571813177,213.70774574486603,211.04877386993488,215.36234493093323,204.01323840126872,23.39770477921954,22.05793000350399,p007_27182.png
210.98778137449594,192.22909076333713,213.94861762059796,146.10847291635048,268.78804205910205,,,,31.57325786088902,16.26240638760801,p007_31415.png
301.4956222768452,246.12322491731098,252.89879489657494,214.7948470227781,,,,,52.030758429765456,38.574176596846726,p007_42.png
,,325.53318321283353,244.8278061805448,,,,,31.47109811340664,50.322424880668244,p007_8675309.png
282.5995547084585,259.74229628335604,268.0542450756148,265.60834978186176,,,,,36.71293620866592,58.69677181523541,p008_1234.png
266.89999955229206,249.91566644102386,211.38931716704903,175.13661507598758,315.33826191233845,,434.264545923431,,32.726522603972114,43.994715697519894,p008_27182.png
353.09087750881895,259.58166727310294,,,,,,,62.18122449041758,29.059886386197192,p008_31415.png
317.2454255231966,,328.0372015360106,,,,,,78.14231855035482,61.402100540020335,p008_42.png
