Left Upper Arm,Left Lower Arm,Right Upper Arm,Right Lower Arm,Left Thigh,Left Lower Leg,Right Thigh,Right Lower Leg,Left Eye to Nose,Right Eye to Nose,File Name
241.5282906281344,158.41227804034216,268.6725534795155,249.28996475797214,,,375.13833735734227,281.1606854825495,39.794727284295014,40.33428723426266,p000_1234.png
251.31860447195348,70.38406960266623,251.79884900128067,247.0983529896216,,,325.7753006449665,,36.88849672159429,50.0099727766701,p000_27182.png
231.53228078008488,217.42444917636092,205.13119617206965,,324.38132034398745,325.91851820153664,290.03352839159123,,40.190772564029075,24.715982384846573,p000_31415.png
264.1363069056036,214.710915487375,169.4436304551257,187.50676487826502,370.6389023820905,380.3572961272353,323.8430633958172,311.5023956966272,44.72724712121661,35.94120501513462,p000_42.png
250.02754406403412,231.7226799758546,220.12621422136164,155.22035223246922,380.03037204805247,,281.03793410534576,,42.711255895251206,28.114888858048733,p000_8675309.png
232.71768500330987,179.5736026204233,237.97119241248146,208.31057833724782,,,,,34.195341280945534,37.727502193317896,p001_1234.png
173.38906938841967,168.2194186910699,175.35825354883949,157.11680544698004,269.23352830277383,,274.5799852165354,,26.679191494875386,28.160827771802477,p001_27182.png
223.71722710027404,155.13214781543982,,,299.7796456711007,,292.60714519143494,,35.947690206106124,24.154385335819622,p001_31415.png
279.17141644383634,245.21763935071678,276.62746739983436,231.35861851248671,,,,,47.186809700153795,49.84273711086964,p001_42.png
131.87022928035813,122.33975145325338,128.93314262528824,109.85396551706941,199.64926810601997,165.77483828106608,195.14625439112461,189.5064954554999,24.82665862809841,19.756005990029866,p001_8675309.png
204.44334396895368,178.09798316871303,266.8709843760473,239.3194517500153,317.35358125483157,,,,20.0915286040985,47.57353407332745,p002_1234.png
325.21808034216434,305.92073694690566,309.845205947369,310.1593129754007,,,,,62.1292958090016,41.31002079179964,p002_27182.png
302.9710152772125,,319.12539367286763,214.24683852671205,,,,,60.38503424301759,44.984683762085496,p002_31415.png
243.36079061861884,158.56919617357124,191.73307937879505,125.3371462342585,320.5911813087404,,119.19996360595535,,44.50345681098453,36.91113529769898,p002_42.png
226.82330281468415,172.38921113020973,184.89910015823307,144.49323410268985,322.7811345157649,285.3490959888429,308.11405968154025,,29.145752874332793,33.11464993304158,p002_8675309.png
291.4124433150091,215.7474094755375,198.77495846062024,228.09802171331611,399.38275773495195,335.17574858627216,,378.31003411613574,50.74433771048702,40.904339014447245,p003_1234.png
323.29421299190216,258.92596619752277,,,382.34710180908615,,,,52.46927656692534,31.88612968439196,p003_27182.png
