Left Upper Arm,Left Lower Arm,Right Upper Arm,Right Lower Arm,Left Thigh,Left Lower Leg,Right Thigh,Right Lower Leg,Left Eye to Nose,Right Eye to Nose,File Name
233.60256476557106,220.6072941296537,228.49607144945895,203.44341053669254,241.28911084740173,201.4025038552055,259.1507801463228,,44.87569745561699,31.127373621793122,p000_1234.png
261.69563243042165,253.5650797944847,239.41718141007098,210.26400194373656,355.3388142086884,,281.9507145113812,,48.26047236430232,45.678047036958745,p000_27182.png
249.8274115323967,217.02438787276245,242.84230130163587,168.85542965567402,297.9368033016403,,257.6056156818481,,53.11557631164934,36.70878513022004,p000_31415.png
207.6751243459964,178.5796516245167,221.0309633914387,180.6696239793442,261.8532969189151,,189.06901708269692,278.7224598976421,38.97277276694963,33.814850739039436,p000_42.png
267.4434926791609,249.00959475329958,244.52258695798986,169.90603163900875,323.8930872966006,,269.84455007316,,44.61781637348283,44.87077759960582,p000_8675309.png
239.6034241216901,217.25168086728465,235.2562872495714,194.7127109397826,253.35282977901673,,267.69211461028596,,38.936329588804796,39.79853630378954,p001_1234.png
245.25150998054104,211.50092995679856,234.11739079904353,197.50470953146186,248.25254978299822,,,,37.92280808138426,41.89513778344492,p001_27182.png
238.21758317391817,218.56962385505005,246.18397410867544,210.06156904180224,,,,,43.394196395723874,41.86305538295815,p001_31415.png
247.87513442285533,194.88723227835305,264.34308171945764,218.49779541628905,,,,,36.60109236145027,41.4263169137377,p001_42.png
217.6912310857542,195.1812535824663,221.90831063030802,198.48134065655904,286.25541445193704,,295.7734367107269,,39.31036946784896,34.95039747942012,p001_8675309.png
255.9678910368615,247.63857892104804,258.6595970636113,252.6639180908617,,,,,47.10746067542066,46.662107000025685,p002_1234.png
242.47514497986566,162.23342032392782,267.5627421985175,247.0554614880708,,,,,48.379791674264226,53.261847004588894,p002_27182.png
252.85224414304565,223.17423971284506,252.86911814775766,148.62640155322964,,,226.71402193193416,,49.7009091109006,40.03929507623703,p002_31415.png
240.73312570127322,220.84861743010418,255.81997007948482,228.59228575618675,,,237.6547245934566,,49.2571051600977,46.28978461625369,p002_42.png
254.44646326072657,235.79584642632383,250.0710962785168,246.5798269447416,,,264.60952949844295,,46.93842992184551,51.08448903540474,p002_8675309.png
