Dateiname,Score
p000_1234.png,32.3006706237793
p000_27182.png,30.467493057250977
p000_31415.png,31.77722930908203
p000_42.png,31.338186264038086
p000_8675309.png,24.516210556030273
p001_1234.png,42.519596099853516
p001_27182.png,28.7883358001709
p001_31415.png,37.28425979614258
p001_42.png,41.349124908447266
p001_8675309.png,24.43740463256836
p002_1234.png,0.0
p002_27182.png,8.684033393859863
p002_31415.png,5.6247124671936035
p002_42.png,0.0
p002_8675309.png,0.0
p003_1234.png,12.736112594604492
p003_27182.png,12.397047996520996
p003_31415.png,0.9221696853637695
p003_42.png,8.199567794799805
p003_8675309.png,15.264302253723145
p004_1234.png,46.570701599121094
p004_27182.png,26.322101593017578
p004_31415.png,19.42305564880371
p004_42.png,30.203149795532227
p004_8675309.png,37.5380973815918
p005_1234.png,0.0
p005_27182.png,0.0
p005_31415.png,0.0
p005_42.png,0.0
p005_8675309.png,0.0
p006_1234.png,48.24333190917969
p006_27182.png,37.32670593261719
p006_31415.png,49.91230392456055
p006_42.png,49.216251373291016
p006_8675309.png,38.12788772583008
p007_1234.png,58.21894836425781
p007_27182.png,28.329355239868164
p007_31415.png,47.38945007324219
p007_42.png,51.25986099243164
p007_8675309.png,37.530357360839844
p008_1234.png,0.0
p008_27182.png,6.527995586395264
p008_31415.png,6.6069655418396
p008_42.png,0.0
p008_8675309.png,0.0
p009_1234.png,28.251707077026367
p009_27182.png,24.988574981689453
p009_31415.png,23.818681716918945
p009_42.png,19.209819793701172
p009_8675309.png,14.773333549499512
p010_1234.png,33.59432601928711
p010_27182.png,30.405681610107422
p010_31415.png,29.246341705322266
p010_42.png,32.74494171142578
p010_8675309.png,14.615864753723145
p011_1234.png,0.0
p011_27182.png,5.288114547729492
p011_31415.png,0.0
p011_42.png,0.0
p011_8675309.png,0.0
p012_1234.png,28.154619216918945
p012_27182.png,24.919960021972656
p012_31415.png,0.7771880030632019
p012_42.png,19.1156063079834
p012_8675309.png,5.147301197052002
p013_1234.png,46.64373016357422
p013_27182.png,31.613189697265625
p013_31415.png,16.650678634643555
p013_42.png,29.089948654174805
p013_8675309.png,27.05082130432129
p014_1234.png,0.0
p014_27182.png,0.0
p014_31415.png,0.0
p014_42.png,0.0
p014_8675309.png,0.0
p015_1234.png,47.521522521972656
p015_27182.png,46.245174407958984
p015_31415.png,45.78540802001953
p015_42.png,46.0613899230957
p015_8675309.png,30.633586883544922
p016_1234.png,55.807106018066406
p016_27182.png,30.006519317626953
p016_31415.png,47.23703384399414
p016_42.png,45.59947967529297
p016_8675309.png,33.463687896728516
p017_1234.png,0.0
p017_27182.png,1.1626583337783813
p017_31415.png,0.0
p017_42.png,0.0
p017_8675309.png,14.9634428024292
p018_1234.png,25.183761596679688
p018_27182.png,30.399662017822266
p018_31415.png,19.709009170532227
p018_42.png,21.831378936767578
p018_8675309.png,17.394506454467773
p019_1234.png,27.085256576538086
p019_27182.png,32.79391860961914
p019_31415.png,22.18729591369629
p019_42.png,31.62010383605957
p019_8675309.png,17.935779571533203
p020_1234.png,0.0
p020_27182.png,4.738244533538818
p020_31415.png,0.0
p020_42.png,0.0
p020_8675309.png,0.0
p021_1234.png,19.73664093017578
p021_27182.png,33.99283981323242
p021_31415.png,1.7632992267608643
p021_42.png,31.82241439819336
p021_8675309.png,0.8848797082901001
p022_1234.png,52.666664123535156
p022_27182.png,38.330631256103516
p022_31415.png,32.02594757080078
p022_42.png,39.13337326049805
p022_8675309.png,28.430553436279297
p023_1234.png,0.0
p023_27182.png,0.0
p023_31415.png,0.0
p023_42.png,0.0
p023_8675309.png,0.0
p024_1234.png,44.883792877197266
p024_27182.png,48.00682067871094
p024_31415.png,33.753150939941406
p024_42.png,44.81449508666992
p024_8675309.png,28.496458053588867
p025_1234.png,57.30195617675781
